symbol,sector,industry,country,shares_outstanding
A,Health Care,Life Sciences Tools & Services,United States of America,285193011
AA,Materials,Metals & Mining,United States of America,258360908
AADI.O,Health Care,Biotechnology,United States of America,24554205
AAL.O,Industrials,Passenger Airlines,United States of America,657566166
AAMI.K,Financials,Capital Markets,United States of America,41372291
AAOI.O,Information Technology,Communications Equipment,United States of America,38148000
AAON.O,Industrials,Building Products,United States of America,81508381
AAP,Consumer Discretionary,Specialty Retail,United States of America,77349000
AAPL.O,Information Technology,"Technology Hardware, Storage & Peripherals",United States of America,15116786000
ABBV.K,Health Care,Biotechnology,United States of America,1831594494
ABCB.K,Financials,Banks,United States of America,72699245
ABCL.O,Health Care,Life Sciences Tools & Services,Canada,290824970
ABL.O,Financials,Insurance,United States of America,63388823
ABLV.O,Communication Services,Media,China,42359233
ABM,Industrials,Commercial Services & Supplies,United States of America,62196665
ABNB.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,623000000
ABP.O,Health Care,Biotechnology,United States of America,50535272
ABSI.O,Health Care,Biotechnology,United States of America,93087675
ABT,Health Care,Health Care Equipment & Supplies,United States of America,1991472630
ABVE.O,Consumer Staples,Food Products,Canada,8518178
ACCO.K,Industrials,Commercial Services & Supplies,United States of America,98131339
ACDC.O,Energy,Energy Equipment & Services,United States of America,159400000
ACEL.K,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,95016960
ACET.O,Health Care,Biotechnology,United States of America,43270386
ACGL.O,Financials,Insurance,Bermuda,595400000
ACHC.O,Health Care,Health Care Providers & Services,United States of America,91263989
ACHR.K,Industrials,Aerospace & Defense,United States of America,303782956
ACI,Consumer Staples,Consumer Staples Distribution & Retail,United States of America,594445268
ACIC.O,Financials,Insurance,United States of America,46989089
ACIU.O,Health Care,Biotechnology,Switzerland,104441787
ACIW.O,Information Technology,Software,United States of America,140525055
ACLX.O,Health Care,Biotechnology,United States of America,52280077
ACM,Industrials,Construction & Engineering,United States of America,132552407
ACMR.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,61057983
ACN,Information Technology,IT Services,Ireland; Republic of,672524852
ACNB.O,Financials,Banks,United States of America,8945293
ACNT.O,Materials,Metals & Mining,United States of America,11085103
ACRV.O,Health Care,Biotechnology,United States of America,22522644
ACTG.O,Financials,Financial Services,United States of America,116079176
ACTU.O,Health Care,Biotechnology,United States of America,19111636
ACVA.O,Industrials,Commercial Services & Supplies,United States of America,168028916
ACXP.O,Health Care,Biotechnology,United States of America,14468229
ADBE.O,Information Technology,Software,United States of America,601000000
ADCT.K,Health Care,Biotechnology,Switzerland,89041946
ADEA.O,Information Technology,Software,United States of America,123952000
ADGM.O,Health Care,Health Care Equipment & Supplies,United States of America,7927331
ADI.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,496296854
ADMA.O,Health Care,Biotechnology,United States of America,226063032
ADNT.K,Consumer Discretionary,Automobile Components,Ireland; Republic of,84866763
ADP.O,Industrials,Professional Services,United States of America,638700000
ADPT.O,Health Care,Life Sciences Tools & Services,United States of America,147773744
ADSK.O,Information Technology,Software,United States of America,214000000
ADT,Consumer Discretionary,Diversified Consumer Services,United States of America,922176862
ADTN.O,Information Technology,Communications Equipment,United States of America,78971000
ADUR.O,Information Technology,Software,Canada,21759066
ADUS.O,Health Care,Health Care Providers & Services,United States of America,16227000
ADV.O,Communication Services,Media,United States of America,322235261
ADVM.O,Health Care,Biotechnology,United States of America,10143300
AEHR.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,28995000
AEIS.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,37711000
AENT.O,Consumer Discretionary,Distributors,United States of America,50957370
AEO,Consumer Discretionary,Specialty Retail,United States of America,249566000
AEON.K,Health Care,Biotechnology,United States of America,516105
AEP.O,Utilities,Electric Utilities,United States of America,534094530
AER,Industrials,Trading Companies & Distributors,Ireland; Republic of,215543739
AERT.O,Industrials,Professional Services,Cayman Islands,15619004
AES,Utilities,Independent Power and Renewable Electricity Producers,United States of America,819051591
AESI.K,Energy,Energy Equipment & Services,United States of America,100025584
AEVA.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,52389000
AFBI.O,Financials,Banks,United States of America,6409598
AFL,Financials,Insurance,United States of America,1349939000
AFRI.O,Consumer Staples,Food Products,Gibraltar,26879202
AFRM.O,Financials,Financial Services,United States of America,311053031
AFYA.O,Consumer Discretionary,Diversified Consumer Services,Brazil,97496309
AGAE.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,39085470
AGCO.K,Industrials,Machinery,United States of America,74420952
AGEN.O,Health Care,Biotechnology,United States of America,19718662
AGIO.O,Health Care,Biotechnology,United States of America,73372696
AGL,Health Care,Health Care Providers & Services,United States of America,406387000
AGMH.O,Financials,Capital Markets,Hong Kong,26354842
AGO,Financials,Insurance,Bermuda,56217305
AGRO.K,Consumer Staples,Food Products,Luxembourg,111381815
AGX,Industrials,Construction & Engineering,United States of America,15828289
AGYS.O,Information Technology,Software,United States of America,33342288
AHCO.O,Health Care,Health Care Providers & Services,United States of America,136569885
AIEV.O,Consumer Discretionary,Automobiles,United States of America,45880057
AIG,Financials,Insurance,United States of America,1906671492
AIN,Industrials,Machinery,United States of America,40856910
AIP.O,Information Technology,Software,United States of America,40724936
AIRG.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,11010000
AIRS.O,Health Care,Health Care Providers & Services,United States of America,57355676
AIT,Industrials,Trading Companies & Distributors,United States of America,54213000
AIZ,Financials,Insurance,United States of America,53129838
AJG,Financials,Insurance,United States of America,250000000
AKA,Consumer Discretionary,Specialty Retail,United States of America,10567881
AKAM.O,Information Technology,IT Services,United States of America,154202728
AKBA.O,Health Care,Biotechnology,United States of America,194582539
AKYA.O,Health Care,Life Sciences Tools & Services,United States of America,49117738
AL,Industrials,Trading Companies & Distributors,United States of America,111376884
ALAB.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,162018000
ALB,Materials,Chemicals,United States of America,117560000
ALCO.O,Consumer Staples,Food Products,United States of America,8416145
ALDX.O,Health Care,Biotechnology,United States of America,59195951
ALE,Utilities,Electric Utilities,United States of America,57900000
ALEC.O,Health Care,Biotechnology,United States of America,84879693
ALG,Industrials,Machinery,United States of America,12046781
ALGM.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,193164609
ALGN.O,Health Care,Health Care Equipment & Supplies,United States of America,74653060
ALGS.O,Health Care,Biotechnology,United States of America,3026740
ALHC.O,Health Care,Health Care Providers & Services,United States of America,188951643
ALIT.K,Industrials,Professional Services,United States of America,560500000
ALK,Industrials,Passenger Airlines,United States of America,141449174
ALKS.O,Health Care,Biotechnology,Ireland; Republic of,176670785
ALKT.O,Information Technology,Software,United States of America,96722098
ALL,Financials,Insurance,United States of America,900000000
ALLE.K,Industrials,Building Products,Ireland; Republic of,86254744
ALLO.O,Health Care,Biotechnology,United States of America,168642238
ALLT.O,Information Technology,Software,Israel,39192939
ALLY.K,Financials,Consumer Finance,United States of America,515777584
ALMS.O,Health Care,Pharmaceuticals,United States of America,51844729
ALNT.O,Industrials,Electrical Equipment,United States of America,16308000
ALNY.O,Health Care,Biotechnology,United States of America,129294000
ALOT.O,Information Technology,"Technology Hardware, Storage & Peripherals",United States of America,10812137
ALRM.O,Information Technology,Software,United States of America,52756077
ALSN.K,Industrials,Machinery,United States of America,85776801
ALTG.K,Industrials,Trading Companies & Distributors,United States of America,32369820
ALTI.O,Financials,Capital Markets,United States of America,65110875
ALTM.K,Materials,Chemicals,Ireland; Republic of,179991665
ALTO.O,Materials,Chemicals,United States of America,75703996
ALTR.O,Information Technology,Software,United States of America,85575000
ALVR.O,Health Care,Biotechnology,United States of America,114153538
ALXO.O,Health Care,Biotechnology,United States of America,49951989
AM,Energy,"Oil, Gas & Consumable Fuels",United States of America,479422000
AMAL.O,Financials,Banks,United States of America,30809484
AMAT.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,2029000000
AMBA.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,40520558
AMBC.K,Financials,Insurance,United States of America,46659144
AMBP.K,Materials,Containers & Packaging,Luxembourg,597634594
AMCR.K,Materials,Containers & Packaging,United Kingdom,1445000000
AMCX.O,Communication Services,Media,United States of America,78214000
AMD.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,1680000000
AME,Industrials,Electrical Equipment,United States of America,270064222
AMED.O,Health Care,Health Care Providers & Services,United States of America,38131478
AMGN.O,Health Care,Biotechnology,United States of America,536900000
AMKR.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,293052000
AMLX.O,Health Care,Pharmaceuticals,United States of America,67707432
AMN,Health Care,Health Care Providers & Services,United States of America,50692000
AMP,Financials,Capital Markets,United States of America,337729050
AMPH.O,Health Care,Pharmaceuticals,United States of America,59390194
AMPL.O,Information Technology,Software,United States of America,129188000
AMPS.K,Utilities,Independent Power and Renewable Electricity Producers,United States of America,158999886
AMPX.K,Industrials,Electrical Equipment,United States of America,88869463
AMPY.K,Energy,"Oil, Gas & Consumable Fuels",United States of America,39147205
AMR,Materials,Metals & Mining,United States of America,22058135
AMRC.K,Industrials,Construction & Engineering,United States of America,54378990
AMRK.O,Consumer Discretionary,Distributors,United States of America,23965427
AMRX.O,Health Care,Pharmaceuticals,United States of America,306565000
AMSC.O,Industrials,Electrical Equipment,United States of America,37343812
AMSF.O,Financials,Insurance,United States of America,20704448
AMST.O,Consumer Discretionary,Diversified Consumer Services,United States of America,2542440
AMTM.K,Industrials,Professional Services,United States of America,153280369
AMWD.O,Industrials,Building Products,United States of America,15653463
AMWL.K,Health Care,Health Care Technology,United States of America,15570172
AMZN.O,Consumer Discretionary,Broadline Retail,United States of America,11108000000
AN,Consumer Discretionary,Specialty Retail,United States of America,63562149
ANDE.O,Consumer Staples,Consumer Staples Distribution & Retail,United States of America,34083000
ANEB.O,Health Care,Pharmaceuticals,United States of America,25933217
ANET.K,Information Technology,Communications Equipment,United States of America,1261334000
ANF,Consumer Discretionary,Specialty Retail,United States of America,103300000
ANGI.O,Communication Services,Interactive Media & Services,United States of America,533298034
ANGO.O,Health Care,Health Care Equipment & Supplies,United States of America,40801597
ANIK.O,Health Care,Biotechnology,United States of America,14848000
ANIX.O,Health Care,Biotechnology,United States of America,32196862
ANNX.O,Health Care,Biotechnology,United States of America,78369099
ANRO.K,Health Care,Pharmaceuticals,United States of America,25574360
ANSS.O,Information Technology,Software,United States of America,95267307
ANTX.O,Health Care,Pharmaceuticals,United States of America,29741445
AON,Financials,Insurance,Ireland; Republic of,216000000
AOS,Industrials,Building Products,United States of America,190707594
AOSL.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,36107000
AOUT.O,Consumer Discretionary,Leisure Products,United States of America,14701280
APA.O,Energy,"Oil, Gas & Consumable Fuels",United States of America,420595901
APD,Materials,Chemicals,United States of America,249455584
APEI.O,Consumer Discretionary,Diversified Consumer Services,United States of America,17604371
APG,Industrials,Construction & Engineering,United States of America,235575316
APGE.O,Health Care,Biotechnology,United States of America,50655671
APH,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,1212900000
APLS.O,Health Care,Biotechnology,United States of America,119556000
APLT.O,Health Care,Biotechnology,United States of America,84869832
APO,Financials,Financial Services,United States of America,565816456
APOG.O,Industrials,Building Products,United States of America,22089265
APPF.O,Information Technology,Software,United States of America,36823000
APPN.O,Information Technology,Software,United States of America,74028786
APPS.O,Information Technology,Software,United States of America,102877057
APRE.O,Health Care,Biotechnology,United States of America,3736673
APTV.K,Consumer Discretionary,Automobile Components,Switzerland,235035739
APYX.O,Health Care,Health Care Equipment & Supplies,United States of America,34643888
AQMS.O,Industrials,Commercial Services & Supplies,United States of America,5415433
AQST.O,Health Care,Pharmaceuticals,United States of America,68533085
AR,Energy,"Oil, Gas & Consumable Fuels",United States of America,311165000
ARAY.O,Health Care,Health Care Equipment & Supplies,United States of America,100194932
ARBE.O,Information Technology,"Electronic Equipment, Instruments & Components",Israel,77925095
ARCB.O,Industrials,Ground Transportation,United States of America,30401768
ARCC.O,Financials,Capital Markets,United States of America,672000000
ARCO.K,Consumer Discretionary,"Hotels, Restaurants & Leisure",Uruguay,210654969
ARCT.O,Health Care,Biotechnology,United States of America,26828000
ARDT.K,Health Care,Health Care Providers & Services,United States of America,140963328
ARDX.O,Health Care,Biotechnology,United States of America,238015825
ARHS.O,Consumer Discretionary,Specialty Retail,United States of America,140369688
ARIS.K,Energy,Energy Equipment & Services,United States of America,30669932
ARKO.O,Consumer Discretionary,Specialty Retail,United States of America,125268525
ARKR.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,3604000
ARLO.K,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,95380281
ARMK.K,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,304285195
AROC.K,Energy,Energy Equipment & Services,United States of America,164984401
AROW.O,Financials,Banks,United States of America,22066559
ARQ.O,Materials,Chemicals,United States of America,37791084
ARQQ.O,Information Technology,Software,United Kingdom,11545354
ARQT.O,Health Care,Biotechnology,United States of America,96787343
ARRY.O,Industrials,Electrical Equipment,United States of America,151242120
ARTNA.O,Utilities,Water Utilities,United States of America,10285763
ARTV.O,Health Care,Biotechnology,United States of America,23281561
ARTW.O,Industrials,Machinery,United States of America,5149173
ARVN.O,Health Care,Pharmaceuticals,United States of America,68800000
ARW,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,55592000
AS,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Finland,489499607
ASAN.K,Information Technology,Software,United States of America,224727924
ASB,Financials,Banks,United States of America,189016409
ASC,Energy,"Oil, Gas & Consumable Fuels",Bermuda,42475293
ASH,Materials,Chemicals,United States of America,47000000
ASIX.K,Materials,Chemicals,United States of America,32989165
ASLE.O,Industrials,Aerospace & Defense,United States of America,52954430
ASMB.O,Health Care,Biotechnology,United States of America,5482752
ASO.O,Consumer Discretionary,Specialty Retail,United States of America,74349927
ASPI.O,Materials,Chemicals,United States of America,48923276
ASPN.K,Materials,Chemicals,United States of America,82047288
ASRT.O,Health Care,Pharmaceuticals,United States of America,94668523
ASRV.O,Financials,Banks,United States of America,26776089
ASST.O,Communication Services,Media,United States of America,2884882
ASTE.O,Industrials,Machinery,United States of America,22740635
ASTL.O,Materials,Metals & Mining,Canada,104103072
ASTS.O,Communication Services,Diversified Telecommunication Services,United States of America,90161309
ASUR.O,Industrials,Professional Services,United States of America,25382000
ATAI.O,Health Care,Pharmaceuticals,Germany,166026396
ATEC.O,Health Care,Health Care Equipment & Supplies,United States of America,141053000
ATEN.K,Information Technology,Software,United States of America,90520000
ATER.O,Consumer Discretionary,Household Durables,United States of America,6729357
ATEX.O,Communication Services,Diversified Telecommunication Services,United States of America,18452892
ATGE.K,Consumer Discretionary,Diversified Consumer Services,United States of America,83194000
ATHA.O,Health Care,Pharmaceuticals,United States of America,38172603
ATI,Materials,Metals & Mining,United States of America,142871688
ATKR.K,Industrials,Electrical Equipment,United States of America,34859033
ATLC.O,Financials,Consumer Finance,United States of America,14603563
ATMU.K,Industrials,Machinery,United States of America,83403813
ATNI.O,Communication Services,Diversified Telecommunication Services,United States of America,17702476
ATO,Utilities,Gas Utilities,United States of America,155258845
ATR,Materials,Containers & Packaging,United States of America,72500000
ATRA.O,Health Care,Biotechnology,United States of America,4257880
ATRO.O,Industrials,Aerospace & Defense,United States of America,37354344
ATSG.O,Industrials,Air Freight & Logistics,United States of America,65240961
ATUS.K,Communication Services,Media,United States of America,770034833
ATXS.O,Health Care,Biotechnology,United States of America,41034797
ATYR.O,Health Care,Biotechnology,United States of America,63286404
AU,Materials,Metals & Mining,United Kingdom,503539626
AUB,Financials,Banks,United States of America,75023327
AUDC.O,Information Technology,Communications Equipment,Israel,64592538
AUNA.K,Health Care,Health Care Providers & Services,Luxembourg,73917577
AUR.O,Information Technology,Software,United States of America,1733000000
AURA.O,Health Care,Biotechnology,United States of America,49350788
AUST.K,Materials,Metals & Mining,Canada,13271750
AVA,Utilities,Multi-Utilities,United States of America,78074587
AVAH.O,Health Care,Health Care Providers & Services,United States of America,190733153
AVAV.O,Industrials,Aerospace & Defense,United States of America,28134438
AVBP.O,Health Care,Biotechnology,United States of America,31956657
AVD,Materials,Chemicals,United States of America,34676787
AVDX.O,Financials,Financial Services,United States of America,204084024
AVGO.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,4686000000
AVIR.O,Health Care,Pharmaceuticals,United States of America,83435513
AVNS.K,Health Care,Health Care Equipment & Supplies,United States of America,49217337
AVNT.K,Materials,Chemicals,United States of America,122200000
AVNW.O,Information Technology,Communications Equipment,United States of America,12600000
AVO.O,Consumer Staples,Food Products,United States of America,70914767
AVPT.O,Information Technology,Software,United States of America,184652000
AVTE.O,Health Care,Biotechnology,United States of America,27762703
AVTR.K,Health Care,Life Sciences Tools & Services,United States of America,680800000
AVXL.O,Health Care,Biotechnology,United States of America,84795517
AVY,Materials,Containers & Packaging,United States of America,124032321
AWI,Industrials,Building Products,United States of America,63054340
AWK,Utilities,Water Utilities,United States of America,200371701
AWR,Utilities,Water Utilities,United States of America,38151027
AWRE.O,Information Technology,Software,United States of America,21017892
AX,Financials,Banks,United States of America,70221632
AXON.O,Industrials,Aerospace & Defense,United States of America,95521651
AXP,Financials,Consumer Finance,United States of America,704200000
AXS,Financials,Insurance,Bermuda,175915000
AXTA.K,Materials,Chemicals,United States of America,254500000
AXTI.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,43644313
AYI,Industrials,Electrical Equipment,United States of America,54600000
AZ.O,Industrials,Aerospace & Defense,Canada,15359776
AZEK.K,Industrials,Building Products,United States of America,157148821
AZI.O,Consumer Discretionary,Specialty Retail,China,104981200
AZO,Consumer Discretionary,Specialty Retail,United States of America,17451000
AZPN.O,Information Technology,Software,United States of America,65367159
AZTA.O,Health Care,Life Sciences Tools & Services,United States of America,59031953
AZZ,Industrials,Building Products,United States of America,25102000
BA,Industrials,Aerospace & Defense,United States of America,1012261159
BAC,Financials,Banks,United States of America,7610862311
BAFN.O,Financials,Banks,United States of America,4132986
BAH,Industrials,Professional Services,United States of America,167402268
BALL.K,Materials,Containers & Packaging,United States of America,684168252
BALY.K,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,39973202
BANC.K,Financials,Banks,United States of America,169109280
BAND.O,Communication Services,Diversified Telecommunication Services,United States of America,28546716
BANF.O,Financials,Banks,United States of America,33216519
BANL.O,Energy,"Oil, Gas & Consumable Fuels",Hong Kong,25000000
BANR.O,Financials,Banks,United States of America,34459832
BANX.O,Financials,Capital Markets,United States of America,7112453
BAP,Financials,Banks,Peru,94382317
BARK.K,Consumer Discretionary,Specialty Retail,United States of America,175533136
BASE.O,Information Technology,IT Services,United States of America,49079876
BATRA.O,Communication Services,Entertainment,United States of America,61873749
BATRK.O,Communication Services,Entertainment,United States of America,61873749
BBCP.O,Industrials,Construction & Engineering,United States of America,53273644
BBDC.K,Financials,Capital Markets,United States of America,105408938
BBIO.O,Health Care,Biotechnology,United States of America,196236234
BBSI.O,Industrials,Professional Services,United States of America,26288000
BBW,Consumer Discretionary,Specialty Retail,United States of America,14172362
BBWI.K,Consumer Discretionary,Specialty Retail,United States of America,240000000
BBY,Consumer Discretionary,Specialty Retail,United States of America,215400000
BC,Consumer Discretionary,Leisure Products,United States of America,102538000
BCAB.O,Health Care,Biotechnology,United States of America,48077599
BCAL.O,Financials,Banks,United States of America,32265935
BCAX.O,Health Care,Biotechnology,United States of America,51760925
BCBP.O,Financials,Banks,United States of America,20296971
BCC,Industrials,Trading Companies & Distributors,United States of America,45139000
BCML.O,Financials,Banks,United States of America,11121475
BCOW.O,Financials,Banks,United States of America,6114183
BCPC.O,Materials,Chemicals,United States of America,32527244
BCSF.K,Financials,Capital Markets,United States of America,64562265
BDC,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,50335000
BDSX.O,Health Care,Health Care Providers & Services,United States of America,96235883
BDX,Health Care,Health Care Equipment & Supplies,United States of America,370594401
BE,Industrials,Electrical Equipment,United States of America,224717533
BEAM.O,Health Care,Biotechnology,United States of America,81632496
BEAT.O,Health Care,Health Care Equipment & Supplies,United States of America,26329032
BECN.O,Industrials,Trading Companies & Distributors,United States of America,63300000
BEEM.O,Industrials,Electrical Equipment,United States of America,14398243
BEEP.K,Industrials,Commercial Services & Supplies,United States of America,27858539
BELFA.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,12830623
BELFB.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,12830623
BERY.K,Materials,Containers & Packaging,United States of America,115000000
BFAM.K,Consumer Discretionary,Diversified Consumer Services,United States of America,58183225
BFC.O,Financials,Banks,United States of America,11515130
BFH,Financials,Consumer Finance,United States of America,49100000
BFIN.O,Financials,Banks,United States of America,12475881
BFRG.O,Health Care,Health Care Technology,United States of America,6094644
BFRI.O,Health Care,Pharmaceuticals,United States of America,1517628
BFST.O,Financials,Banks,United States of America,29552358
BG,Consumer Staples,Food Products,United States of America,155282542
BGC.O,Financials,Capital Markets,United States of America,533814019
BGFV.O,Consumer Discretionary,Specialty Retail,United States of America,26747617
BGM.O,Health Care,Pharmaceuticals,China,7226480
BGS,Consumer Staples,Food Products,United States of America,78624419
BGSF.K,Industrials,Professional Services,United States of America,10891439
BHE,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,35996919
BHF.O,Financials,Insurance,United States of America,122247338
BHLB.K,Financials,Banks,United States of America,55345572
BHRB.O,Financials,Banks,United States of America,8000000
BHVN.K,Health Care,Biotechnology,United States of America,81115723
BIAF.O,Health Care,Biotechnology,United States of America,9394610
BIGC.O,Information Technology,IT Services,United States of America,78573000
BIIB.O,Health Care,Biotechnology,United States of America,169500000
BILL.K,Information Technology,Software,United States of America,106646000
BIO,Health Care,Life Sciences Tools & Services,United States of America,30265872
BIOA.O,Health Care,Pharmaceuticals,United States of America,34167184
BIOX.O,Materials,Chemicals,Argentina,62848483
BIRD.O,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",United States of America,7756349
BIRK.K,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",United Kingdom,187829202
BJ,Consumer Staples,Consumer Staples Distribution & Retail,United States of America,147544000
BK,Financials,Capital Markets,United States of America,1400035379
BKD,Health Care,Health Care Providers & Services,United States of America,210547351
BKE,Consumer Discretionary,Specialty Retail,United States of America,50445186
BKH,Utilities,Multi-Utilities,United States of America,71676756
BKNG.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,64276130
BKR.O,Energy,Energy Equipment & Services,United States of America,990000000
BKSY.K,Industrials,Professional Services,United States of America,18154000
BKU,Financials,Banks,United States of America,74748370
BKV,Energy,"Oil, Gas & Consumable Fuels",United States of America,84125557
BL.O,Information Technology,Software,United States of America,62813352
BLBD.O,Industrials,Machinery,United States of America,34050590
BLCO.K,Health Care,Health Care Equipment & Supplies,Canada,352402374
BLD,Consumer Discretionary,Household Durables,United States of America,39492037
BLDE.O,Industrials,Passenger Airlines,United States of America,75131425
BLDR.K,Industrials,Building Products,United States of America,113578000
BLFY.O,Financials,Banks,United States of America,28054218
BLIN.O,Information Technology,Software,United States of America,10417609
BLKB.O,Information Technology,Software,United States of America,70943373
BLMN.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,86968536
BLND.K,Information Technology,Software,United States of America,249910000
BLZE.O,Information Technology,IT Services,United States of America,39150610
BMBL.O,Communication Services,Interactive Media & Services,United States of America,138520102
BMEA.O,Health Care,Biotechnology,United States of America,35866610
BMI,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,37221098
BMRC.O,Financials,Banks,United States of America,16089454
BMRN.O,Health Care,Biotechnology,United States of America,190761349
BMY,Health Care,Pharmaceuticals,United States of America,2900000000
BN,Financials,Capital Markets,Canada,1646318529
BOC,Communication Services,Media,United States of America,31311299
BODI.K,Consumer Discretionary,Diversified Consumer Services,United States of America,6707359
BOH,Financials,Banks,United States of America,58765864
BOLD.O,Health Care,Biotechnology,United States of America,22239333
BOLT.O,Health Care,Biotechnology,United States of America,38114606
BOOT.K,Consumer Discretionary,Specialty Retail,United States of America,30572000
BOSC.O,Information Technology,Communications Equipment,Israel,5748018
BOTJ.O,Financials,Banks,United States of America,4543338
BOW,Financials,Insurance,United States of America,31529412
BOX,Information Technology,Software,United States of America,144353000
BPMC.O,Health Care,Biotechnology,United States of America,63712256
BPOP.O,Financials,Banks,Puerto Rico,103186654
BPRN.O,Financials,Banks,United States of America,6910500
BR,Industrials,Professional Services,United States of America,154500000
BRBR.K,Consumer Staples,Personal Care Products,United States of America,136700000
BRBS.K,Financials,Banks,United States of America,84972610
BRC,Industrials,Commercial Services & Supplies,United States of America,54800115
BRCC.K,Consumer Staples,Food Products,United States of America,212122795
BRDG.K,Financials,Capital Markets,United States of America,37829889
BREA.O,Communication Services,Entertainment,Ireland; Republic of,11660000
BRIA.K,Consumer Discretionary,Distributors,Singapore,30625000
BRID.O,Consumer Staples,Food Products,United States of America,9076832
BRKL.O,Financials,Banks,United States of America,96998075
BRKR.O,Health Care,Life Sciences Tools & Services,United States of America,182377119
BRLT.O,Consumer Discretionary,Specialty Retail,United States of America,61642122
BRO,Financials,Insurance,United States of America,306000000
BROS.K,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,115432000
BRZE.O,Information Technology,Software,United States of America,100210423
BSBK.O,Financials,Banks,United States of America,13279230
BSET.O,Consumer Discretionary,Household Durables,United States of America,8736046
BSVN.O,Financials,Banks,United States of America,9390211
BSX,Health Care,Health Care Equipment & Supplies,United States of America,1737846196
BSY.O,Information Technology,Software,United States of America,296265837
BTAI.O,Health Care,Biotechnology,United States of America,29930000
BTBD.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,6461118
BTDR.O,Information Technology,Software,Singapore,112573054
BTM.O,Industrials,Commercial Services & Supplies,United States of America,13602691
BTMD.O,Health Care,Pharmaceuticals,United States of America,35842383
BTOC.O,Industrials,Ground Transportation,United States of America,41634000
BTOG.O,Information Technology,Software,Singapore,7758348
BTSG.O,Health Care,Health Care Providers & Services,United States of America,174245990
BTU,Energy,"Oil, Gas & Consumable Fuels",United States of America,189100000
BURL.K,Consumer Discretionary,Specialty Retail,United States of America,82399577
BUSE.O,Financials,Banks,United States of America,59570013
BV,Industrials,Commercial Services & Supplies,United States of America,108200000
BVFL.O,Financials,Banks,United States of America,11375803
BVS.O,Health Care,Health Care Equipment & Supplies,United States of America,63267436
BW,Industrials,Electrical Equipment,United States of America,91588000
BWA,Consumer Discretionary,Automobile Components,United States of America,283575876
BWB.O,Financials,Banks,United States of America,27552449
BWFG.O,Financials,Banks,United States of America,7859873
BWIN.O,Financials,Insurance,United States of America,64133950
BWLP.K,Energy,"Oil, Gas & Consumable Fuels",Singapore,140000000
BWMN.O,Industrials,Construction & Engineering,United States of America,17694495
BWMX.K,Consumer Discretionary,Specialty Retail,Mexico,37316546
BWXT.K,Industrials,Aerospace & Defense,United States of America,128065521
BX,Financials,Capital Markets,United States of America,731925965
BXSL.K,Financials,Capital Markets,United States of America,185782408
BY,Financials,Banks,United States of America,46255613
BYD,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,86184155
BYND.O,Consumer Staples,Food Products,United States of America,64624140
BYON.K,Consumer Discretionary,Specialty Retail,United States of America,51770000
BZH,Consumer Discretionary,Household Durables,United States of America,31047510
CAAP.K,Industrials,Transportation Infrastructure,Luxembourg,163222707
CABA.O,Health Care,Biotechnology,United States of America,47823232
CAC.O,Financials,Banks,United States of America,14577218
CACC.O,Financials,Consumer Finance,United States of America,12048151
CACI.K,Industrials,Professional Services,United States of America,43042000
CADE.K,Financials,Banks,United States of America,183527575
